Title	URL	Assignees	Status	Sprint	Task Type	Nature	Epic	Time Estimation	Actual Time
Send Notifications to Event Attendees - UI	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/284		Product Backlog		Frontend	Sprint Task	Event Organization		
Send Notifications to Event Attendees - VM	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/285		Product Backlog		ViewModel	Sprint Task	Event Organization		
Send Notifications to Event Attendees - Database	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/286		Product Backlog		Backend	Sprint Task	Event Organization		
Wireframes + Mockups for 24. View Past Events Hosted	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/52		Product Backlog		Figma	Sprint Task	UX/UI		
Wireframes + Mockups for 14. View Participants List in Group Chat	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/101		Product Backlog		Figma	Sprint Task	UX/UI		
Wireframes + Mockups for 13. Send Message in Group Chat	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/40		Product Backlog		Figma	Sprint Task	UX/UI		
Group Chat UI	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/209		Product Backlog		Frontend	Sprint Task	UX/UI		
Group Chat VM	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/208		Product Backlog		ViewModel	Sprint Task	Networking		
Group chat Overview UI	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/212		Product Backlog		Frontend	Sprint Task	Networking		
Group chat Overview VM	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/211		Product Backlog		ViewModel	Sprint Task	Networking		
Group chat Overview Filter Frontend	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/215		Product Backlog		Frontend	Sprint Task			
Group chat Overview Filter Backend	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/214		Product Backlog		Backend	Sprint Task			
Link Private Chat UI and VM	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/280	christinehahaa	Done in Sprint 8	Sprint 8	Frontend	Sprint Task	Networking	3hrs	5hrs
Browse Events List	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/15	christinehahaa, Nath-Assa, wisdomseeker2001	Done in Sprint 8	Sprint 8		User Story	Technical Requirements		
Change DOB input to use "." instead of "/"	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/191	Viccha18	Sprint Backlog	Sprint 9		Sprint Task	Technical Requirements	3h	
Edit Event UI	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/254	wisdomseeker2001	Sprint Backlog	Sprint 9	Frontend	Sprint Task		3h	
Edit Event VM	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/253	wisdomseeker2001	Sprint Backlog	Sprint 9	Backend	Sprint Task		3h	
Manage event	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/106	nikhen-s, Viccha18, wisdomseeker2001	Sprint Backlog	Sprint 9		User Story	Event Organization		
Create new event	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/41	nikhen-s, Viccha18	Sprint Backlog	Sprint 9		User Story	Event Organization		
Individual profile	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/22	achillet3, christinehahaa	Sprint Backlog	Sprint 9		User Story	Networking		
Individual Chats	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/20	christinehahaa, jgeaso1266	Sprint Backlog	Sprint 8		User Story	Networking		
Ticket Verification via QR Code	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/30	wisdomseeker2001	Sprint Backlog	Sprint 8		User Story	Event Organization		
Adding Friend with QR Code	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/17	achillet3, christinehahaa, wisdomseeker2001	Done in Sprint 8	Sprint 8		User Story	Networking		
Connection Graph UI	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/203		Product Backlog			Sprint Task			
Connection Graph VM	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/202		Product Backlog			Sprint Task			
Live location integration with Map view of Events	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/207		Product Backlog			User Story			
Photo Sharing	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/28		Product Backlog			User Story			
Share live location	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/27		Product Backlog			User Story			
Shared Photo for friend connection	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/26		Product Backlog			User Story			
Connection Graph	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/21		Product Backlog			User Story			
Group Chat	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/18		Product Backlog			User Story			
